Part_Brand_id,Part Brand Name,Part_Brand_name_Tags,desc,Part_Brand_Type,Oem_id
177,alpha filter,alpha filter,-,2,1
178,amc filter,amc filter,-,2,1
179,amp,amp,-,2,1
180,anchor,anchor,-,2,1
181,anco,anco,-,2,1
182,apex,apex,-,2,1
183,arb,arb,-,2,1
184,art,art,-,2,1
185,ashok leyland,ashok leyland,-,2,1
186,asimco,asimco,-,2,1
187,atc,atc,-,2,1
188,atc-new,atc-new,-,2,1
189,atek,atek,-,2,1
190,auger,auger,-,2,1
191,auto equip,auto equip,-,2,1
192,autokat,autokat,-,2,1
193,autolec,autolec,-,2,1
194,autolite,autolite,-,2,1
195,automega,automega,-,2,1
196,autostar,autostar,-,2,1
197,ava quality cooling,ava quality cooling,-,2,1
198,banco,banco,-,2,1
199,bando,bando,-,2,1
200,banner,banner,-,2,1
201,bbt,bbt,-,2,1
202,begel germany,begel germany,-,2,1
203,behr,behr,-,2,1
204,beral,beral,-,2,1
205,besf1ts,besf1ts,-,2,1
206,bgf,bgf,-,2,1
207,bilstein,bilstein,-,2,1
208,bimetal,bimetal,-,2,1
209,blackbelt,blackbelt,-,2,1
210,bmc,bmc,-,2,1
211,bm catalysts,bm catalysts,-,2,1
212,bmw,bmw,-,2,1
213,boge,boge,-,2,1
214,borsehung,borsehung,-,2,1
215,boss filters,boss filters,-,2,1
216,bougicord,bougicord,-,2,1
217,bpw,bpw,-,2,1
218,breck,breck,-,2,1
219,breckner,breckner,-,2,1
220,brisk,brisk,-,2,1
221,bro-filters,bro-filters,-,2,1
222,brp,brp,-,2,1
223,bugatti,bugatti,-,2,1
224,bw,bw,-,2,1
225,caffaro,caffaro,-,2,1
226,camellia,camellia,-,2,1
227,carlson,carlson,-,2,1
228,cartechnic,cartechnic,-,2,1
229,casp,casp,-,2,1
230,castrol,castrol,-,2,1
231,cei,cei,-,2,1
232,central,central,-,2,1
233,century,century,-,2,1
234,champion,champion,-,2,1
235,clean filters,clean filters,-,2,1
236,clevite,clevite,-,2,1
237,cnc,cnc,-,2,1
238,cofap,cofap,-,2,1
239,cofle,cofle,-,2,1
240,comline,comline,-,2,1
241,comma,comma,-,2,1
242,continental,continental,-,2,1
243,coolex,coolex,-,2,1
244,covind,covind,-,2,1
245,crc,crc,-,2,1
246,crown,crown,-,2,1
247,crown gaskets,crown gaskets,-,2,1
248,cs germany,cs germany,-,2,1
249,ctc,ctc,-,2,1
250,ctr,ctr,-,2,1
251,cx,cx,-,2,1
252,daewha,daewha,-,2,1
253,daewoo,daewoo,-,2,1
254,daf,daf,-,2,1
255,daido metal,daido metal,-,2,1
256,daihatsu,daihatsu,-,2,1
257,daimler,daimler,-,2,1
258,datsun,datsun,-,2,1
259,denki,denki,-,2,1
260,depo,depo,-,2,1
261,destra,destra,-,2,1
262,dew,dew,-,2,1
263,dexwal,dexwal,-,2,1
264,dfd,dfd,-,2,1
265,diamond,diamond,-,2,1
266,did,did,-,2,1
267,dinex,dinex,-,2,1
268,dokuro,dokuro,-,2,1
269,donaldson,donaldson,-,2,1
270,dongil,dongil,-,2,1
271,dong yang piston,dong yang piston,-,2,1
272,doohap,doohap,-,2,1
273,dpa,dpa,-,2,1
274,dph,dph,-,2,1
275,dreik,dreik,-,2,1
276,drive joy,drive joy,-,2,1
277,dt spare parts,dt spare parts,-,2,1
278,dunlop,dunlop,-,2,1
279,dyg,dyg,-,2,1
280,dys,dys,-,2,1
281,eai,eai,-,2,1
282,egt,egt,-,2,1
283,eiko,eiko,-,2,1
284,elegant,elegant,-,2,1
285,elf,elf,-,2,1
286,eneos,eneos,-,2,1
287,energizer,energizer,-,2,1
288,eps,eps,-,2,1
289,eristic,eristic,-,2,1
290,errevi,errevi,-,2,1
291,etg,etg,-,2,1
292,euromac,euromac,-,2,1
293,euroricambi,euroricambi,-,2,1
294,exide,exide,-,2,1
295,fa1,fa1,-,2,1
296,facom,facom,-,2,1
297,fbk,fbk,-,2,1
298,fbl,fbl,-,2,1
299,febest,febest,-,2,1
300,federal mogul,federal mogul,-,2,1
301,feituo,feituo,-,2,1
302,fel-pro,fel-pro,-,2,1
303,fenner,fenner,-,2,1
304,ferodo,ferodo,-,2,1
305,ferrari,ferrari,-,2,1
306,fersa,fersa,-,2,1
307,fiamm,fiamm,-,2,1
308,fiat /jeep/ alfa/ lancia,fiat /jeep/ alfa/ lancia,-,2,1
309,fic,fic,-,2,1
310,fifft,fifft,-,2,1
311,filtron,filtron,-,2,1
312,fj-tech,fj-tech,-,2,1
313,fkc,fkc,-,2,1
314,flag,flag,-,2,1
315,fleetguard,fleetguard,-,2,1
316,fomar,fomar,-,2,1
317,force,force,-,2,1
318,ford,ford,-,2,1
